AISC_Manual_Label,W,A,Ix (in^4),Sx
L2-1/2X2-1/2X1/4,4.10,1.19,0.69,0.39
L2-1/2X2-1/2X3/16,3.07,0.90,0.54,0.30
L2-1/2X2X3/8,5.30,1.55,0.91,0.55
L2-1/2X2X5/16,4.50,1.32,0.79,0.47
L2-1/2X2X1/4,3.62,1.07,0.66,0.38
L2-1/2X2X3/16,2.75,0.82,0.51,0.29
L2-1/2X1-1/2X1/4,3.19,0.95,0.59,0.36
L2-1/2X1-1/2X3/16,2.44,0.72,0.46,0.28
L2X2X3/8,4.70,1.37,0.48,0.35
L2X2X5/16,3.92,1.16,0.41,0.30
L2X2X1/4,3.19,0.94,0.35,0.24
L2X2X3/16,2.44,0.72,0.27,0.19
L2X2X1/8,1.65,0.49,0.19,0.13
WT22X167.5,167.50,49.20,2170.00,131.00
WT22X145,145.00,42.60,1830.00,111.00
WT22X131,131.00,38.50,1640.00,99.40
WT22X115,115.00,33.90,1440.00,88.60
WT20X296.5,296.50,87.20,3310.00,209.00
WT20X251.5,251.50,74.00,2730.00,174.00
WT20X215.5,215.50,63.30,2290.00,148.00
WT20X198.5,198.50,58.30,2070.00,134.00
WT20X186,186.00,54.70,1930.00,126.00
WT20X181,181.00,53.20,1870.00,122.00
WT20X162,162.00,47.70,1650.00,108.00
WT20X148.5,148.50,43.60,1500.00,98.90
WT20X138.5,138.50,40.70,1360.00,88.60
WT20X124.5,124.50,36.70,1210.00,79.40
WT20X107.5,107.50,31.80,1030.00,68.00
WT20X99.5,99.50,29.20,988.00,66.50
WT20X196,196.00,57.80,2270.00,153.00
WT20X165.5,165.50,48.80,1880.00,128.00
WT20X163.5,163.50,47.90,1840.00,125.00
WT20X147,147.00,43.10,1630.00,111.00
WT20X139,139.00,41.00,1550.00,106.00
WT20X132,132.00,38.70,1450.00,99.20
WT20X117.5,117.50,34.60,1260.00,85.70
WT20X105.5,105.50,31.10,1120.00,76.70
WT20X91.5,91.50,26.70,955.00,65.70
WT20X83.5,83.50,24.50,899.00,63.70
WT20X74.5,74.50,21.90,815.00,59.70
WT18X326,325.00,96.20,3160.00,208.00
WT18X264.5,264.50,77.80,2440.00,164.00
WT18X243.5,243.50,71.70,2220.00,150.00
WT18X220.5,220.50,64.90,1980.00,134.00
WT18X197.5,197.50,58.10,1740.00,119.00
WT18X180.5,180.50,53.00,1570.00,107.00
WT18X165,165.00,48.40,1410.00,97.00
WT18X151,151.00,44.50,1280.00,88.80
WT18X141,141.00,41.50,1190.00,82.60
WT18X131,131.00,38.50,1110.00,77.50
WT18X123.5,123.50,36.30,1040.00,73.30
WT18X115.5,115.50,34.10,978.00,69.10
WT18X128,128.00,37.60,1210.00,87.40
WT18X116,116.00,34.00,1080.00,78.50
